Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size_ml,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Ultra Face Mask,Drunk Elephant,Blush,Weekly,67.85,1.4,686,30,Sensitive,Female,Tube,Retinol,False,Australia
Ultra Lipstick,Laura Mercier,Makeup Remover,Occasional,116.43,4.2,5483,250,Dry,Unisex,Bottle,Shea Butter,False,UK
Ultra Serum,Natasha Denona,Highlighter,Daily,90.84,1.6,5039,100,Sensitive,Male,Compact,Aloe Vera,True,Italy
Divine Serum,Ilia Beauty,Face Mask,Occasional,55.17,3.2,6202,250,Normal,Male,Tube,Glycerin,True,South Korea
Super Foundation,Charlotte Tilbury,Highlighter,Occasional,140.56,1.7,297,100,Oily,Female,Compact,Glycerin,False,Germany
Super Eye Shadow,Danessa Myricks,Foundation,Weekly,135.82,3.2,9405,150,Sensitive,Female,Compact,Glycerin,True,UK
Super Lip Gloss,Bourjois,Powder,Monthly,148.99,2.5,2423,250,Normal,Female,Jar,Hyaluronic Acid,True,Germany
Ultra Cleanser,Bourjois,Lip Gloss,Daily,21.43,4.3,8032,200,Sensitive,Male,Bottle,Vitamin C,True,Italy
Magic Highlighter,IT Cosmetics,CC Cream,Occasional,113.09,3.3,2468,200,Combination,Unisex,Compact,Vitamin C,True,Germany
Perfect Bronzer,Fenty Beauty,Face Mask,Weekly,133.57,4.4,4127,150,Dry,Female,Compact,Hyaluronic Acid,False,Japan
Ultra Moisturizer,Sisley,Powder,Weekly,104.91,4,8876,100,Combination,Female,Bottle,Retinol,True,UK
Divine CC Cream,Juvia’s Place,Eye Shadow,Daily,101.88,4.7,7196,50,Oily,Male,Bottle,Retinol,False,Italy
Ultra Setting Spray,NARS,Concealer,Occasional,34.2,1.9,4799,150,Oily,Unisex,Bottle,Vitamin C,False,Australia
Divine Primer,ColourPop,Eyeliner,Occasional,96,2.2,3557,150,Normal,Male,Spray,Salicylic Acid,True,Germany
Divine Exfoliator,Huda Beauty,Lipstick,Monthly,26.21,4.9,4167,200,Sensitive,Unisex,Bottle,Shea Butter,True,USA
Perfect Blush,Tatcha,Setting Spray,Daily,104.06,3.2,2802,250,Dry,Unisex,Compact,Shea Butter,False,UK
Perfect Highlighter,Kiehl’s,Cleanser,Occasional,131.95,4,4860,150,Combination,Female,Stick,Salicylic Acid,False,USA
Super Cleanser,Huda Beauty,Bronzer,Monthly,90.45,1.5,9690,150,Sensitive,Unisex,Tube,Salicylic Acid,True,South Korea
Ultra Face Oil,Tarte,Primer,Weekly,65.13,2.9,2612,250,Sensitive,Male,Bottle,Hyaluronic Acid,False,Australia
Divine Lip Gloss,Glossier,Face Oil,Occasional,55.14,3.8,9593,150,Sensitive,Male,Stick,Salicylic Acid,False,France
Perfect Blush,Make Up For Ever,Contour,Monthly,35.33,3.4,4230,150,Normal,Unisex,Jar,Salicylic Acid,False,South Korea
Divine Foundation,Anastasia Beverly Hills,Mascara,Daily,145.37,2.3,6045,50,Combination,Male,Jar,Retinol,True,France
Divine Cleanser,Fenty Beauty,Face Mask,Monthly,119.26,4.6,9425,100,Sensitive,Male,Compact,Hyaluronic Acid,False,Japan
Perfect Eyeliner,E.l.f.,Makeup Remover,Occasional,148.69,3.7,59,150,Combination,Unisex,Jar,Retinol,True,Australia
Super Serum,Hourglass,Foundation,Weekly,96.3,3.2,7512,250,Normal,Male,Jar,Shea Butter,True,Australia
Divine Setting Spray,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,150,Dry,Female,Spray,Glycerin,False,Japan
Magic Eye Shadow,Laura Mercier,Contour,Occasional,34.06,3,4490,50,Oily,Unisex,Stick,Vitamin C,False,Japan
Ultra Exfoliator,Too Faced,Bronzer,Monthly,62.56,2.3,3254,30,Combination,Female,Bottle,Retinol,False,France
Magic Lip Liner,Perricone MD,Lip Gloss,Daily,120.23,1.6,3813,50,Oily,Male,Compact,Vitamin C,False,Germany
Super Makeup Remover,RMS Beauty,Eyeliner,Monthly,62.98,3.3,1926,200,Dry,Female,Spray,Glycerin,True,UK
Perfect BB Cream,Sisley,Powder,Weekly,74.95,1.9,1270,250,Dry,Unisex,Stick,Salicylic Acid,True,France
Magic BB Cream,Juvia’s Place,Highlighter,Occasional,46.66,4.6,5398,200,Sensitive,Male,Spray,Glycerin,False,Italy
Super Lip Liner,ColourPop,Powder,Monthly,27.45,1.2,9692,50,Oily,Female,Bottle,Glycerin,True,Australia
Ultra Lip Gloss,Urban Decay,Eye Shadow,Daily,134.54,1,4973,100,Dry,Female,Spray,Hyaluronic Acid,False,France
Super Primer,Rare Beauty,Highlighter,Weekly,111.7,1.7,9892,150,Combination,Unisex,Compact,Retinol,True,USA
Super Cleanser,Fenty Beauty,Makeup Remover,Monthly,148.76,2.3,4487,30,Sensitive,Unisex,Spray,Vitamin C,False,USA
Divine Eyeliner,Fenty Beauty,Eye Shadow,Occasional,74.51,4.6,4884,30,Oily,Male,Stick,Glycerin,False,South Korea
Super Contour,Becca,Cleanser,Monthly,63.79,2,7155,30,Dry,Female,Jar,Vitamin C,True,France
Perfect Eyeliner,Patrick Ta,Bronzer,Daily,135.46,4,5148,250,Dry,Female,Bottle,Shea Butter,False,USA
Divine Cleanser,Shiseido,Powder,Weekly,74.45,4,69,30,Oily,Female,Spray,Shea Butter,False,Australia
Super Foundation,Rare Beauty,Concealer,Monthly,25.46,2.8,6843,150,Dry,Male,Compact,Hyaluronic Acid,False,South Korea
Magic Makeup Remover,Kylie Cosmetics,Mascara,Occasional,58.41,1.4,4149,200,Oily,Unisex,Jar,Salicylic Acid,False,UK
Perfect Face Mask,RMS Beauty,Blush,Weekly,142.53,2.5,734,100,Oily,Unisex,Compact,Glycerin,False,France
Perfect Contour,Pat McGrath Labs,Serum,Occasional,99.2,3.1,4405,30,Oily,Male,Tube,Aloe Vera,True,Japan
Divine CC Cream,Fenty Beauty,Mascara,Occasional,132.98,1.4,7747,30,Dry,Unisex,Jar,Glycerin,True,South Korea
Perfect Lip Liner,Bite Beauty,Face Oil,Weekly,72.88,1.1,3358,30,Sensitive,Female,Compact,Shea Butter,False,Australia
Ultra Moisturizer,Hourglass,Contour,Daily,79.42,4.7,3975,100,Dry,Female,Bottle,Shea Butter,False,France
Magic Setting Spray,Drunk Elephant,Cleanser,Daily,70.15,3,786,200,Dry,Unisex,Tube,Shea Butter,True,Japan
Magic CC Cream,Urban Decay,Contour,Weekly,111.62,4.9,2705,50,Normal,Male,Compact,Retinol,False,South Korea
Divine Setting Spray,Laura Mercier,BB Cream,Monthly,45.83,2.1,6947,50,Oily,Female,Jar,Salicylic Acid,False,Japan
Super Exfoliator,Hourglass,Exfoliator,Occasional,19.74,1.3,5980,150,Normal,Unisex,Spray,Salicylic Acid,False,South Korea
Perfect Eye Shadow,Laura Mercier,Eyeliner,Weekly,112.67,3.3,1492,200,Dry,Unisex,Spray,Aloe Vera,True,Germany
Super Highlighter,Tarte,Exfoliator,Occasional,148.7,3.5,5380,100,Normal,Unisex,Stick,Retinol,False,Australia
Ultra Serum,Anastasia Beverly Hills,Concealer,Occasional,49.32,2.5,3274,250,Dry,Female,Bottle,Salicylic Acid,True,Australia
Ultra Cleanser,Laura Mercier,CC Cream,Weekly,42.84,1.1,4441,50,Sensitive,Male,Jar,Vitamin C,True,South Korea
Perfect Serum,E.l.f.,Concealer,Occasional,133.56,1.3,7450,200,Normal,Male,Spray,Glycerin,False,Australia
Divine Cleanser,Becca,Face Mask,Occasional,49.67,1.9,8956,30,Oily,Female,Jar,Hyaluronic Acid,False,Germany
Divine Primer,Tarte,Bronzer,Occasional,31.81,3.1,6868,100,Sensitive,Male,Compact,Shea Butter,False,Japan
Super Eyeliner,E.l.f.,Primer,Occasional,28.72,2.6,4597,200,Sensitive,Unisex,Stick,Aloe Vera,False,Japan
Super Blush,Yves Saint Laurent,Face Mask,Weekly,110.51,4.2,2973,100,Normal,Male,Stick,Vitamin C,False,UK
Magic Primer,Bourjois,Contour,Occasional,142.17,3.9,8901,50,Oily,Unisex,Stick,Salicylic Acid,False,Italy
Perfect Mascara,Rare Beauty,Exfoliator,Weekly,97.15,1.2,764,100,Normal,Female,Spray,Salicylic Acid,True,Australia
Ultra Concealer,Perricone MD,Makeup Remover,Daily,110.12,2.3,1532,200,Oily,Male,Compact,Shea Butter,False,Germany
Ultra Face Oil,Laura Mercier,Exfoliator,Monthly,13.9,3.6,262,100,Dry,Male,Stick,Aloe Vera,True,USA
Magic Contour,Kylie Cosmetics,Powder,Occasional,107.38,4.9,5290,50,Normal,Male,Spray,Hyaluronic Acid,False,Australia
Magic Mascara,Bourjois,Cleanser,Daily,97.75,2.9,3341,30,Combination,Male,Compact,Vitamin C,False,UK
Super Eye Shadow,Bourjois,Eye Shadow,Daily,57.24,2.5,7063,30,Combination,Female,Jar,Hyaluronic Acid,True,Italy
Ultra Eyeliner,Glossier,Lip Liner,Daily,94.09,2.5,9321,100,Oily,Unisex,Spray,Shea Butter,True,France
Super BB Cream,Bobby Brown,Foundation,Occasional,22.93,4,8824,200,Dry,Unisex,Stick,Vitamin C,False,Germany
Perfect Concealer,Becca,Lipstick,Daily,38.7,3.5,1145,200,Oily,Male,Stick,Glycerin,True,UK
Magic Setting Spray,Farsali,Lip Liner,Daily,103.44,4.5,7547,150,Combination,Female,Spray,Shea Butter,False,Germany
Divine Makeup Remover,Tatcha,Contour,Weekly,84.37,2.4,3721,200,Dry,Unisex,Stick,Shea Butter,True,France
Super Bronzer,Anastasia Beverly Hills,Cleanser,Weekly,143.23,4.8,2308,50,Normal,Unisex,Stick,Retinol,True,Italy
Magic Lipstick,RMS Beauty,Powder,Monthly,114.37,2.8,9401,30,Normal,Male,Bottle,Retinol,False,Italy
Divine Contour,Morphe,Makeup Remover,Monthly,108.92,3.6,8901,30,Combination,Unisex,Compact,Vitamin C,False,Italy
Ultra Blush,RMS Beauty,Lipstick,Occasional,15.36,1.5,2461,150,Combination,Female,Bottle,Aloe Vera,True,South Korea
Divine Setting Spray,RMS Beauty,Powder,Weekly,144.46,1.4,9314,30,Oily,Male,Stick,Hyaluronic Acid,False,UK
Divine Setting Spray,Huda Beauty,Face Mask,Occasional,53.25,3.6,6115,250,Sensitive,Male,Spray,Hyaluronic Acid,False,Germany
Ultra Makeup Remover,Pat McGrath Labs,Serum,Occasional,39.87,3,7793,200,Normal,Female,Spray,Hyaluronic Acid,True,France
Perfect Eyeliner,Sisley,Serum,Weekly,17.32,2.6,1402,100,Oily,Female,Bottle,Glycerin,False,Italy
Super Mascara,Too Faced,Foundation,Weekly,104.76,3.3,1435,100,Combination,Male,Bottle,Hyaluronic Acid,False,UK
Magic Makeup Remover,Too Faced,Blush,Monthly,34.46,2,5485,150,Oily,Female,Jar,Retinol,True,Italy
Ultra Face Mask,Tatcha,Foundation,Monthly,132.75,3.7,9541,500,Oily,Female,Stick,Aloe Vera,False,Italy
Perfect BB Cream,Fenty Beauty,Cleanser,Daily,86.04,4.2,7546,150,Sensitive,Female,Compact,Shea Butter,True,Germany
Perfect BB Cream,Natasha Denona,Powder,Occasional,15.83,3.5,7966,100,Oily,Female,Jar,Shea Butter,True,Italy
Magic Lipstick,Danessa Myricks,Bronzer,Monthly,15.17,3.3,9458,100,Sensitive,Female,Stick,Salicylic Acid,False,Australia
Divine Concealer,Perricone MD,Primer,Occasional,114.25,4.6,8534,150,Oily,Female,Tube,Vitamin C,True,France
Divine Exfoliator,Kylie Cosmetics,Face Mask,Occasional,72.78,3.9,1857,30,Oily,Female,Tube,Retinol,True,Germany
Super Contour,Rare Beauty,Primer,Occasional,114.03,1,9905,50,Normal,Female,Jar,Salicylic Acid,False,Japan
Divine Contour,Milk Makeup,Mascara,Daily,105.93,1.7,5581,30,Dry,Male,Bottle,Vitamin C,False,UK
Ultra Foundation,Pat McGrath Labs,Setting Spray,Weekly,40.89,3,7249,200,Dry,Female,Jar,Hyaluronic Acid,False,South Korea
Divine Face Mask,Clinique,Contour,Daily,141.48,3.7,9189,150,Normal,Unisex,Bottle,Shea Butter,True,Germany
Divine Concealer,Anastasia Beverly Hills,Face Mask,Monthly,109.61,1.7,506,250,Oily,Male,Tube,Glycerin,True,Italy
Super Exfoliator,Sisley,Moisturizer,Weekly,78.62,2.7,4829,150,Normal,Male,Tube,Hyaluronic Acid,False,Germany
Divine BB Cream,KVD Beauty,Lip Liner,Occasional,101.67,2.3,52,30,Oily,Unisex,Spray,Vitamin C,False,UK
Perfect Cleanser,Farsali,Bronzer,Monthly,85.31,1.3,8316,30,Combination,Unisex,Jar,Glycerin,False,UK
Divine Exfoliator,Clinique,Makeup Remover,Weekly,76.5,4.8,8962,150,Sensitive,Unisex,Stick,Shea Butter,False,Italy
Magic Contour,Natasha Denona,Face Mask,Daily,129.66,3.3,7110,150,Normal,Female,Spray,Hyaluronic Acid,False,Italy
Super Lipstick,Shiseido,Concealer,Daily,42.77,4.9,6165,250,Combination,Male,Stick,Shea Butter,True,Japan
Magic Eyeliner,Milk Makeup,Blush,Occasional,97.68,1.3,7863,50,Oily,Female,Compact,Aloe Vera,True,Italy
Divine Setting Spray,Bobby Brown,Blush,Weekly,126.69,4.8,9525,200,Oily,Unisex,Compact,Vitamin C,True,France
Magic Highlighter,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,200,Oily,Female,Jar,Aloe Vera,True,Japan
Ultra Eye Shadow,NARS,Foundation,Monthly,136.12,4.6,5489,100,Normal,Female,Jar,Shea Butter,False,UK
Magic Primer,Clinique,Blush,Occasional,48.08,2.6,8445,200,Combination,Male,Stick,Shea Butter,False,Italy
Divine Lip Gloss,Rare Beauty,Face Oil,Occasional,149.9,4.3,6185,200,Normal,Female,Compact,Hyaluronic Acid,False,UK
